iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ETH,349.7661741,347.9402441,339.7914672,331.899782,329.0362203,322.9394342,311.9555771,297.6081278,276.5880637,261.0065531,250.9121105,238.0064599,221.8837446,206.6205719,190.9612018,177.8398908,167.028896,157.0666308,147.5566806,139.2810117,131.5338673,126.0331939,120.6937231,115.9658892,113.5751896,109.595541,105.7441109,103.2564363,98.54265857,93.66457534
FJI,42.27628695,40.9991617,39.45923588,38.12393025,36.67030908,35.33786407,34.1408539,32.49020704,31.75814382,30.26325089,28.35238301,26.57937317,25.28797427,24.44729628,23.57359497,22.85504882,22.80801869,22.71678178,21.82959227,21.64839875,21.36131192,20.81234232,20.23055698,19.72105303,19.22302339,18.58471371,17.8636072,17.19394564,16.49266146,15.86484985
FIN,0.524778335,0.511091419,0.505358808,0.501597538,0.472347622,0.461896295,0.46340051,0.445100467,0.430581409,0.414868423,0.388147475,0.346253083,0.312716575,0.27007318,0.220515481,0.181839405,0.154427716,0.141983451,0.12754039,0.116422949,0.103351296,0.091369527,0.082444109,0.076348285,0.070730012,0.06743211,0.066185662,0.069575563,0.071173082,0.072538976
FRA,0.467713211,0.468070333,0.463856267,0.461431187,0.450785664,0.448852428,0.444662599,0.432678173,0.429014158,0.418104652,0.409180307,0.386734786,0.375504513,0.371223467,0.345430702,0.338758778,0.326826661,0.318804891,0.311902914,0.298687131,0.277245985,0.24621182,0.231862454,0.215172846,0.200317312,0.201106187,0.196628286,0.196469287,0.196274505,0.196780976
GAB,105.1517767,101.2556636,97.82248126,94.31216507,91.61341978,89.16803792,86.10791938,83.30606623,81.04909607,78.54554367,77.14225752,75.47896024,73.38929143,72.14600737,70.24513384,68.52386278,66.63232623,64.15392615,61.64025596,58.50903513,54.69902051,51.20789266,47.46611655,44.56199269,42.40230675,40.6948975,38.75606756,37.4397902,35.4459951,33.98455442
GMB,127.9914944,125.8492605,125.5450581,121.1210856,119.2116838,124.8868805,117.4262241,117.1280839,120.3628818,124.3188847,115.2023189,108.6777339,106.1197077,103.2658237,109.0017515,105.5788886,100.2694045,95.97194914,89.55251924,86.02541763,81.45837807,73.97085017,71.73731198,70.06140644,71.75801529,68.93911718,69.55115107,71.20632506,68.09330892,66.21859015
GEO,5.009998355,4.553682386,4.402243909,4.492354588,4.660536807,4.535542421,4.327587079,4.212724799,3.936958657,3.524488106,3.163821614,2.845046019,2.382167384,1.953840622,1.621201347,1.375091214,1.093900275,1.005111326,1.018524217,0.987492914,1.005931168,0.988832063,0.982796302,0.959764795,0.937515738,0.931292684,0.875377643,0.828045502,0.787651954,0.750767469
DEU,0.196497561,0.185447185,0.176187579,0.169807337,0.163006564,0.158101081,0.154824055,0.152028046,0.150267046,0.149551883,0.14894211,0.150440371,0.158744353,0.170268834,0.1746333,0.185008031,0.19572471,0.209581567,0.220631901,0.225374466,0.224831215,0.222675684,0.224741683,0.228141747,0.222790438,0.227909203,0.222550618,0.212643593,0.206666558,0.201800157
GHA,173.3393496,165.3657316,158.3803612,151.6589554,146.3910622,140.2962731,133.3197803,126.0652998,118.2847563,110.8583093,104.7096589,98.04134252,93.58420437,90.03217278,85.81767982,81.44114751,78.7577699,75.50610209,72.1328044,70.27357788,68.091871,66.22804357,64.04471026,63.16608866,62.94354619,62.61582082,60.75485169,59.18253363,54.97692228,52.37467544
GRC,0.162850031,0.159066842,0.160329645,0.159223745,0.161434728,0.164229314,0.16827266,0.171901988,0.18167247,0.187311746,0.194491669,0.193902394,0.196580489,0.197939975,0.194536453,0.188269743,0.176117379,0.160171676,0.158123936,0.142728887,0.140846285,0.144912308,0.152436745,0.161516882,0.187812362,0.206071841,0.214388727,0.203611202,0.204833915,0.202401794
GRL,1.869302849,1.856606487,1.82679351,1.936820602,1.880649029,1.828898521,1.764671653,1.689303661,1.596737688,1.537797191,1.496638064,1.402732228,1.332396699,1.232911639,1.073919656,1.031346562,1.001632699,0.962129818,0.937136487,0.895986667,0.835114197,0.808440351,0.789121721,0.762232518,0.742230904,0.726286383,0.70975127,0.696254094,0.679931532,0.66810363
GRD,13.13658053,12.28786563,11.93131728,11.78876675,11.05019475,10.35428686,9.637865864,8.97397855,8.467033939,8.403688301,8.150908611,7.948801681,7.624695324,7.38821052,7.118478141,6.862062537,6.714250365,6.602116881,6.4328036,6.387822707,6.299196051,6.151746595,5.758326332,5.794490928,5.832610711,5.771723657,5.862815932,5.727088766,5.521797327,5.340645545
GUM,5.831146796,5.893853867,5.871819039,5.519036026,4.913767059,4.412800595,4.06749882,3.747692165,3.467222683,3.170437627,2.949897292,2.826711247,2.759786454,2.739776458,2.546788095,2.339506154,2.374688943,2.385403194,2.366009187,2.38925708,2.338068927,2.320543309,2.372683588,2.382612155,2.382682118,2.438419402,2.473210872,2.448344466,2.418168412,2.463393174
