iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BLM,145.038,136.254,113.191,114.741,110.202,106.817,110.33,101.208,97.502,98.148,96.971,100.213,93.143,81.76,81.587,95.288,83.014,78.438,77.634,67.328,56.674,56.593,53.22,49.807,46.983,44.049,41.473,39.837,37.728,35.604,33.294,30.318,23.779,25.174,24.682,25.368,22.632,22.225,20.259,20.221,19.597,16.146,17.35,16.938,16.552,16.166,15.811,15.451,15.097,14.769,14.443,14.122,13.804,13.502,13.199,12.911,12.63,12.368,12.116,11.886,11.665,11.44,9.96,11.013,10.796,10.586,10.4,14.862,10.001,9.804,9.623,9.364
BLR,115.063,109.648,99.156,89.223,80.091,71.789,64.327,57.706,51.909,46.912,42.634,39.007,35.932,33.292,30.972,28.929,27.143,25.648,24.451,23.514,22.805,22.322,22.052,21.947,21.947,21.98,21.981,21.909,21.74,21.455,21.043,20.199,19.419,18.74,18.141,17.572,17,16.429,15.904,15.471,15.213,15.19,15.339,15.535,15.664,15.675,15.484,15.094,14.474,13.666,12.752,11.825,10.939,10.145,9.438,8.745,8.026,7.306,6.646,6.076,5.593,5.193,4.858,4.575,4.325,4.09,3.856,3.618,3.375,3.131,2.914,2.718
BLZ,186.535,183.928,178.751,173.636,168.564,165.356,158.9,154.248,149.712,145.274,140.908,161.828,132.258,127.891,123.519,119.185,114.962,110.893,106.288,101.565,97.279,93.026,89.055,85.463,82.106,78.809,75.722,72.791,70.343,67.312,64.666,62.119,59.505,56.937,54.316,51.64,48.928,46.191,43.475,40.85,38.353,36.028,34.093,32.165,30.41,28.941,27.603,26.435,25.842,24.414,24.189,24.142,22.199,21.697,21.297,21.064,20.607,20.267,20.224,19.444,18.929,18.342,17.667,16.918,16.128,15.313,14.498,13.702,12.951,12.269,11.668,11.737
BMU,99.618,139.749,95.674,80.998,97.473,81.553,49.248,50.678,43.461,44.902,41.341,59.445,57.388,58.997,39.156,36.17,54.163,33.569,31.501,34.619,26.914,34.28,30.127,20.017,21.074,18.41,22.116,19.975,17.555,16.766,18.176,13.701,15.32,12.536,10.156,13.912,13.494,9.602,7.211,9.019,9.619,9.789,14.63,11.181,17.655,8.625,3.765,4.49,1.626,3.107,3.93,3.841,2.365,4.564,2.376,6.558,9.478,4.841,5.776,2.551,2.573,1.702,2.505,2.767,4.688,3.779,3.735,1.524,2.959,2.95,2.937,2.822
BOL,313.326,311.915,309.083,306.207,303.269,300.172,297.03,293.805,290.529,287.078,283.594,280.002,276.391,272.581,268.748,264.968,260.822,256.702,252.583,248.159,243.74,239.062,234.56,229.934,225.245,220.81,215.909,210.988,205.986,200.775,195.588,190.329,185.018,180.31,174.333,168.797,163.335,157.747,151.959,146.35,140.433,134.473,129.06,122.924,116.797,110.961,105.213,99.643,94.159,88.909,84.158,79.716,75.751,72.012,68.48,65.194,62.194,59.256,56.273,53.217,50.409,47.86,45.572,43.887,42.483,41.345,40.401,39.605,38.743,37.873,36.675,35.513
BRA,213.414,209.523,205.244,200.89,196.585,192.287,187.728,183.291,178.781,174.161,169.549,164.93,160.501,156.308,152.55,149.026,145.899,142.832,139.544,136.348,133.022,129.643,126.163,122.787,119.562,116.035,112.536,108.864,104.871,100.641,96.203,91.778,87.524,83.694,80.2,76.949,73.934,71.124,68.507,65.811,63.128,60.316,57.388,54.272,51.099,47.981,44.99,42.196,39.534,37.051,34.723,32.501,30.371,28.395,26.527,24.786,23.22,21.835,20.63,19.555,18.667,17.977,17.235,16.716,16.29,15.935,15.645,15.485,15.236,14.98,14.697,14.446
BRB,171.196,175.104,174.726,168.802,157.473,144.882,127.049,113.345,101.451,91.891,84.433,78.213,73.067,68.53,64.518,60.93,57.857,55.141,52.638,50.186,48.015,45.394,43.043,40.738,38.497,36.301,34.219,32.228,30.307,28.505,26.869,25.49,24.334,23.386,22.572,21.839,21.138,20.42,19.667,18.885,18.106,17.339,16.629,16.011,15.522,15.158,14.915,14.816,14.819,14.922,15.107,15.333,15.533,15.669,15.765,15.679,15.566,15.419,15.263,15.109,14.974,14.823,14.683,14.513,14.292,13.998,13.668,13.36,12.981,12.612,12.269,11.844
BRN,200.073,185.738,173.654,164.327,157.224,151.925,147.439,142.086,134.567,124.937,113.868,102.199,91.196,81.769,74.013,68.425,63.388,59.843,56.834,53.872,50.647,47.027,43.128,39.19,35.405,31.892,28.793,26.04,23.648,21.543,19.721,18.188,16.882,15.806,14.923,14.212,13.645,13.245,12.982,12.836,12.78,12.764,12.72,12.574,12.321,11.972,11.559,11.119,10.703,10.319,9.994,9.724,9.513,9.353,9.243,9.182,9.156,9.16,9.199,9.268,9.375,9.504,9.663,9.845,10.037,10.239,10.449,10.662,10.863,11.026,11.109,11.083
BTN,388.848,386.961,383.242,379.395,375.325,371.107,366.675,362.047,357.25,352.247,346.987,341.284,335.153,328.664,321.926,314.888,307.51,300.008,292.627,283.547,274.749,266.379,257.8,249.15,241.163,233.185,225.082,217.264,209.663,201.961,194.435,186.933,179.403,172.342,165.553,158.95,152.219,145.762,139.122,132.955,127.239,121.66,115.79,110.599,106.658,100.286,95.312,90.758,85.895,81.105,83.4,72.806,68.535,64.415,60.699,57.291,53.848,50.355,47.225,44.814,42.088,39.759,37.561,35.722,34.109,32.746,31.572,30.506,29.396,28.387,27.49,26.841
BWA,225.028,221.574,214.777,208.118,201.641,195.318,189.391,184.046,178.219,173.059,167.789,162.696,157.77,153.133,148.604,144.153,139.898,135.697,131.433,126.809,122.216,117.408,112.399,107.172,101.976,96.658,91.345,86.221,81.278,76.661,72.312,68.176,64.336,60.562,57.702,55.138,52.756,50.743,50.94,49.119,49.815,51.704,54.53,57.254,60.81,65.279,68.946,73.202,76.148,78.588,80.624,80.289,78.066,75.863,72.601,66.635,63.911,58.989,57.846,55.694,52.172,52.759,51.637,50.58,50.963,50.301,49.496,47.797,47.49,46.502,45.502,44.497
CAF,318.906,316.835,312.714,308.686,304.636,300.687,296.779,293.016,289.218,285.437,280.139,274.825,269.35,263.863,257.905,251.952,245.985,239.949,233.983,228.266,222.832,217.822,213.109,208.82,204.782,201.118,197.563,194.158,190.99,188.089,185.549,183.095,181.517,180.016,178.802,177.676,176.67,175.888,175.542,175.798,176.367,176.651,176.51,175.865,175.04,174.215,173.384,172.525,171.28,169.937,169.63,167.874,165.945,164.121,162.47,160.546,158.094,155.731,152.78,148.849,145.035,140.429,136.044,132.249,132.498,123.346,118.08,114.231,111.316,106.714,102.986,101.914
CAN,49.007,45.538,47.153,44.429,40.738,40.037,40.674,38.962,36.117,33.678,32.3,31.42,31.64,30.108,28.361,26.304,25.973,25.179,24.028,23.118,22.432,20.616,20.276,18.38,18.071,17.398,15.815,15.012,14.472,13.31,12.877,11.684,11.106,10.385,10.026,9.681,9.635,8.975,8.846,8.792,8.301,7.611,7.221,7.446,7.505,7.124,6.634,6.522,6.229,6.259,5.939,6.209,6.277,6.219,6.074,6.265,5.907,5.976,5.861,5.617,5.799,5.571,5.478,5.749,5.349,5.278,5.268,5.096,5.286,5.009,4.949,4.891
CHE,38.214,36.951,35.661,34.904,32.779,32.117,30.755,28.709,26.533,26.833,26.221,25.874,26.356,25.527,23.459,21.472,21.082,20.904,19.866,19.194,18.447,17.8,16.367,15.933,15.579,13.252,13.18,11.901,11.083,10.611,11.015,9.731,9.559,9.49,9.274,8.738,8.851,8.482,8.675,8.826,8.517,7.894,7.704,6.896,6.576,6.151,5.915,5.957,5.733,5.682,5.818,6.002,5.531,5.052,5.35,5.006,5.149,4.634,4.585,4.957,4.399,4.369,4.3,4.492,4.488,4.582,3.931,4.151,3.955,3.774,4.246,3.667
CHL,162.616,162.324,160.957,159.509,157.569,155.887,153.715,151.45,149.025,146.03,142.85,139.15,134.797,130.312,125.201,119.754,117.509,104.884,93.745,88.276,88.769,82.622,82.754,74.164,73.271,61.752,58.553,48.894,39.94,38.275,34.706,30.727,28.345,26.167,23.541,22.499,22.57,21.702,22.683,20.903,19.39,17.24,16.726,15.004,13.845,13.244,12.893,11.884,12.779,12.216,11.197,10.872,9.999,9.686,10.027,9.263,8.92,9.347,8.979,9.143,8.546,8.569,8.277,7.741,8.341,7.766,7.668,7.477,7.649,7.453,5.861,5.602
CHN,207.906,201.799,195.493,189.99,186.954,181.667,176.608,171.869,166.766,261.637,337.732,255.47,150.558,146.48,141.424,136.086,131.102,126.799,122.717,118.542,112.68,106.826,101.266,95.751,90.367,85.178,79.381,74.426,69.929,65.967,62.731,59.865,57.623,55.95,54.838,54.229,53.938,53.943,54.063,54.067,53.774,53.291,52.28,50.971,49.38,47.648,45.721,43.646,41.59,39.275,36.797,34.218,31.585,28.934,26.423,24.106,22.023,20.178,18.918,17.105,15.864,14.639,13.548,12.541,11.608,10.744,9.964,9.223,8.551,7.931,7.365,6.858
