iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CAF,31.44445128,31.09089432,30.51082222,30.53924636,30.61131237,30.81809378,31.56158386,32.14687408,33.16518379,34.62425279,35.67180782,36.55456614,37.5934909,38.43697551,39.00341378,39.14295827,39.82473969,39.5841946,38.88411746,38.35491954,37.8806742,36.9681355,36.17313056,36.08475905,35.14652307,33.72452279,32.50801599,31.7486467,30.60881435,29.51036326
TCD,68.00424168,63.88745891,61.63121095,59.90807172,57.58114571,56.43286566,55.80630108,54.32254302,52.84305414,51.28716791,48.6435318,44.89041443,42.62302779,40.33218533,37.85377151,35.40998956,33.98850552,32.42775288,30.69142263,28.99617233,27.43743386,25.92685492,24.39767293,23.18696932,21.68541959,20.50364846,19.32656821,18.23738815,17.2174163,16.38594858
CHL,2.102230424,2.048045512,1.998610567,2.09650903,2.199573931,2.395078983,2.706113014,2.911849254,3.561212265,3.912218455,3.969682972,3.997918798,4.004690639,4.132371329,4.127436211,4.07682876,3.930016371,3.864907564,3.606149496,3.537182517,3.467021831,3.246173655,3.02027703,2.820141353,2.585569642,2.467453515,2.346718617,2.375672061,2.368603811,2.359894049
CHN,5.071966892,5.122590966,4.63862614,4.42445776,4.208788712,3.854723166,3.577083334,3.279400797,2.937286039,2.661927871,2.38972419,2.13018779,1.820126064,1.555925917,1.36801617,1.259290312,1.191579507,1.105138367,1.073001445,1.062800821,1.067972466,1.080749726,1.075193182,1.086830018,1.108888637,1.134242487,1.178133952,1.173313901,1.124731397,1.086830075
COL,7.412670725,7.114566406,6.670427453,6.045411287,5.706684242,5.523453615,5.590765448,5.235927522,5.252702901,5.430192596,5.466850227,5.445804269,5.549604875,5.2333642,4.954215236,4.626107953,4.382545811,4.032804321,3.941140042,3.845409489,3.66679904,3.401744078,3.262817423,3.112260468,2.980165035,2.916146098,2.807797251,2.746804647,2.704525531,2.65794585
COM,41.68651468,39.73061488,38.76941212,37.05318272,36.10821546,34.97678771,33.86623564,32.59767603,30.7754177,29.3314179,28.41900355,26.86154428,25.35604773,23.65189296,22.4717698,21.75902339,20.49776421,20.6369251,20.06175451,18.56309379,17.05875304,16.78950718,15.96796244,15.17963595,15.65143201,15.00348093,14.30970321,13.89249355,13.10218994,12.53775426
COG,21.07924205,20.68347278,20.4357657,20.40358543,20.7851991,20.96853401,21.18570827,21.77629835,21.04079876,20.68466776,20.10491111,19.0714876,18.32401835,17.85040133,17.28318728,16.88260002,16.27351535,15.77455853,15.33441113,14.83745015,14.21902609,13.65843801,13.27090794,12.80440083,12.36634217,11.87791952,11.33913858,10.93356207,10.60680278,10.36039992
COK,0.837006232,0.799413302,0.763669528,0.729383442,0.704534336,0.688324174,0.669560681,0.645989929,0.623409728,0.606560665,0.586205332,0.536270039,0.492353177,0.471759076,0.445986947,0.416369768,0.378831158,0.348808603,0.346952016,0.342318661,0.338962742,0.343869088,0.357402889,0.383074115,0.38350227,0.380036521,0.374773995,0.37298784,0.370319719,0.367470323
CRI,1.396894563,1.292816083,1.146495561,0.987929786,0.872240411,0.787188396,0.697132251,0.701890574,0.640080785,0.563399457,0.528823206,0.479809959,0.510579914,0.517106315,0.517812422,0.479050013,0.512841891,0.445627793,0.438782405,0.432132937,0.476912276,0.45954615,0.458618724,0.446727074,0.424389268,0.42272707,0.424483432,0.425679881,0.422432838,0.417036467
HRV,0.010694727,0.012845994,0.014600422,0.013774319,0.014050532,0.014647645,0.014014733,0.015685882,0.013382601,0.014355614,0.013042543,0.012668376,0.01322907,0.014556473,0.013869286,0.013052739,0.012323844,0.012968483,0.01206726,0.011824856,0.011492878,0.011400675,0.011689311,0.011369983,0.011558969,0.011909131,0.011593964,0.011588684,0.011624226,0.011620727
CUB,0.521466295,0.556314798,0.582072093,0.614774664,0.644004307,0.64808982,0.629726494,0.595246791,0.551736866,0.513905322,0.460109271,0.405162342,0.368000907,0.364337097,0.369090811,0.360264379,0.32781681,0.32090321,0.32317646,0.326759184,0.32305909,0.317458513,0.318599159,0.314943993,0.313714277,0.320261666,0.323456451,0.322162937,0.314320967,0.302489381
CYP,0.629699236,0.645169463,0.664802956,0.672053588,0.654225526,0.627670138,0.591542518,0.566133203,0.554319705,0.537428271,0.508318231,0.496956971,0.490022797,0.493316477,0.492499363,0.519956748,0.540746506,0.544010052,0.53814708,0.507935127,0.518162029,0.522427155,0.528130078,0.528350561,0.521683094,0.53136472,0.527190925,0.502772168,0.478899163,0.467428987
CZE,0.060633216,0.054895602,0.054018463,0.045482005,0.046403865,0.043900575,0.036708061,0.039698958,0.038505565,0.038110641,0.044488278,0.044452059,0.051355846,0.058463101,0.071881971,0.086488303,0.106675462,0.15222908,0.198738553,0.237887021,0.289860183,0.367715072,0.448036895,0.528438906,0.593357067,0.673548805,0.701414555,0.70184926,0.6137858,0.556110358
PRK,7.735571452,6.856969415,6.152609211,5.628544963,5.213229195,575.1623309,398.6313513,409.4315426,425.5581459,450.1001253,432.4947395,425.153765,419.4840414,3.350385283,3.137679382,2.959816856,2.818988807,2.683371532,2.625308506,2.508433874,2.402537735,2.302076197,2.20078515,2.094969883,1.99646677,1.903362517,1.826560521,1.759855972,1.698376852,1.646384421
COD,29.49534606,29.50995837,29.58259316,29.77189997,30.16228039,30.56681938,31.40257367,31.84486184,32.4828494,33.03986591,33.50682425,33.11403115,31.89143887,30.81894856,29.17611642,27.92773999,27.05393383,26.04421216,25.11131735,24.19970931,23.04858476,21.92445392,20.73323294,19.31568043,17.7243416,16.08539963,14.44817864,13.08160683,12.30795175,11.5233491
DNK,0.078871798,0.08095082,0.086112,0.094209125,0.122742448,0.15183006,0.20704668,0.231803824,0.29615469,0.40835977,0.515279631,0.604940112,0.754209767,0.775636788,0.780703244,0.74336112,0.702004033,0.646980932,0.574349714,0.533678209,0.471389966,0.410174845,0.372704965,0.364921471,0.349569924,0.339500407,0.349377232,0.353389649,0.356004791,0.357951677
DJI,89.36321848,91.95036436,86.67715463,85.32249776,83.18743108,83.25469632,86.0870358,81.74219313,81.82606177,74.93012394,71.99511012,68.36522389,68.42023184,64.66717471,60.17140144,60.26381374,54.20650709,54.92364057,52.26808829,49.18012523,44.83352397,44.14917647,42.10605341,37.97572004,35.21426088,35.90378951,33.08211662,30.09355044,28.46018212,27.07408073
DMA,4.857435994,4.73750773,4.459705021,4.218815759,4.047103266,3.850783071,3.678172154,3.454076196,3.252233578,3.159185132,3.053938516,2.942049533,2.887693722,2.807687365,2.663276977,2.577674017,2.518538927,2.473614153,2.388427497,2.326988427,2.291460265,2.241593064,2.20195758,2.235286975,2.296590591,2.343558303,2.322051958,2.335668616,2.368969222,2.384008929
DOM,16.24187443,14.81203828,13.04988035,11.70579823,10.34504542,9.262975556,8.339589312,7.605529151,6.831634683,6.294112122,5.844621871,5.47929798,5.057201423,5.026527889,5.152485417,4.981653931,4.659255082,4.369575954,4.062990474,3.96845324,3.945477751,3.974920445,4.155798627,4.403090179,4.463060417,4.619515154,4.683286174,4.701655691,4.676594937,4.64872653
ECU,15.45019076,15.4223361,14.71669092,13.94718787,13.3855865,13.0768523,13.4364672,12.98425619,13.05814756,12.72848422,12.42635248,11.50435902,11.68321937,11.08422025,10.36835088,9.93977574,9.439105759,8.872955556,8.235937907,7.456637551,7.074033113,6.524755907,6.088030276,5.771081902,5.597154664,5.408911898,5.305614147,5.273192897,5.25476714,5.113719445
EGY,3.925011395,3.773801744,3.630413493,3.623889561,3.522184993,3.405079936,3.2111096,3.092142122,3.027215093,2.899114165,2.614771696,2.601250807,2.559121555,2.654938276,2.554137679,2.401631085,2.227997052,2.119417554,2.074994264,2.028227177,1.950570823,1.884356063,1.882500085,1.762274928,1.729855688,1.745664206,1.700242322,1.598073168,1.544423817,1.503366818
SLV,9.721113498,9.145069695,8.65644136,8.145041696,7.786359436,7.153771237,6.866671597,6.984305383,7.342996019,6.950937019,6.837334485,6.665434391,6.334204874,6.418030539,6.556767473,6.506698809,6.448747788,6.203127669,5.868054382,5.952140878,5.418888696,5.247656704,4.732485347,4.718916965,4.862146309,4.793854797,4.643096213,4.56427937,4.49631476,4.459986313
