Country Code,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
GAB,Gabon,64.61,65.7,66.8,67.88,68.97,70.04,71.1,72.14,73.17,74.18,73.6,76.12,77.07,78.02,78.96,81.6,80.88,81.86,82.86,83.89,84.93,85.99,89.3,86.4,89.22,90.31,91.4
GMB,"Gambia, The",16.23,17.51,18.78,17.7,21.31,22.57,23.81,25.04,26.25,27.44,34.3,29.75,30.88,32.01,33.14,30.46,35.42,36.58,37.77,38.97,40.2,41.44,42.69,44.5,45.22,46.49,47.76
GEO,Georgia,97.33,97.52,97.7,97.88,98.05,98.21,98.36,98.49,98.61,98.71,98.78,98.84,99.9,98.93,98.97,97.94,99.08,99.15,99.25,99.36,99.5,99.64,100,99.9,100,99.99,100
DEU,Germany,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GHA,Ghana,23.54,25.69,27.84,30.6,32.13,34.26,36.38,38.48,42.6,42.63,44.68,46.7,48.71,48.3,52.72,54.73,55.09,58.79,60.5,62.94,65.04,64.06,69.29,70.7,78.3,75.72,79.3
GIB,Gibraltar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GRC,Greece,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GRL,Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GRD,Grenada,81.56,82.04,82.51,82.99,83.45,83.91,84.35,84.78,85.04,85.59,85.95,86.3,86.64,86.97,87.3,87.63,87.98,88.35,90,89.14,89.57,88.8,90.47,90.93,91.4,91.87,92.34
GLP,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUM,Guam,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GTM,Guatemala,60.19,61.47,62.74,64.01,65.28,60.8,67.78,69.01,70.23,70.9,73.32,73.73,78.67,78.51,77.13,78.27,83.73,80.58,81.77,82.98,84.2,84.03,86.7,87.96,85.49,90.51,91.78
GIN,Guinea,6.43,7.47,8.52,9.56,10.6,11.62,12.64,13.63,14.62,16.4,16.51,17.43,18.33,19.23,20.13,20.2,21.95,22.89,23.84,24.82,25.82,26.83,26.2,28.88,29.92,30.96,33.5
GNB,Guinea-Bissau,0.01,0.27,0.54,1.19,1.84,2.47,3.1,3.71,4.3,4.86,5.41,5.94,6.45,6.96,7.47,7.98,14.54,9.05,9.62,4.7,6,11.43,12.06,12.71,17.2,14,14.66
GUY,Guyana,68.21,68.89,69.57,72.38,70.91,71.57,72.22,72.85,73.46,74.05,74.62,75.17,75.71,76.24,76.77,77.5,73.38,78.43,79.02,77.6,80.26,80.9,81.56,82.22,86.9,83.57,84.24
HTI,Haiti,28,28.47,28.95,29.42,29.88,31.3,30.77,31.2,31.61,31.99,33.7,31.54,33.03,31.6,33.69,34.02,33.9,34.73,35.11,35.52,35.94,36.38,37.9,37.29,37.75,38.22,38.69
HPC,Heavily indebted poor countries (HIPC),10.51,10.82,11.72,12.04,12.62,13.62,14.68,15.27,16.36,16.99,18.31,18.68,19.31,20.67,21.66,21.8,23.61,25.45,26.01,26.56,27.89,28.27,31.04,31.58,34.12,34.53,38.59
HIC,High income,99.45,99.5,99.52,99.55,99.57,99.58,99.63,99.65,99.68,99.69,99.73,99.73,99.75,99.79,99.78,99.8,99.84,99.84,99.86,99.89,99.9,99.93,99.95,99.95,99.97,99.97,99.98
NOC,High income: nonOECD,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,54.74,54.78,58.91,61.1,64.73,66.12,61.68,64.79,66.86,67.39,67.62,68.81,63.14,65.09,67.11,68.9,71.27,73.55,76.4,78.27,80.98,82.2,83.61,87.18,88.65,89.98,87.58
HKG,"Hong Kong SAR, China",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
HUN,Hungary,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IBD,IBRD only,76.12,76.22,77.64,78.56,78.97,79.79,80.74,81.83,82.57,83.99,84.09,83.31,85.5,86.11,86.47,87.3,88.19,88.77,89.56,90.76,91.46,89.2,92.85,92.92,93.35,95.43,94.56
ISL,Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IBT,IDA & IBRD total,65.99,66.3,67.55,68.38,68.77,69.6,70.54,71.41,72.23,73.58,73.74,73.24,75.08,75.85,76.06,76.9,77.9,78.54,79.18,80.31,80.7,79.49,82.52,82.67,83.3,84.9,85.28
IDB,IDA blend,43.75,45.8,47.65,49.2,49.89,51.14,52.3,53.37,53.86,56.72,56.44,58.05,58.52,61.48,60.5,62.07,62.46,65.17,64.52,66.35,64.39,68.66,68.8,69.75,71.18,69.58,75.53
IDX,IDA only,14.39,15.81,16.38,17.08,17.88,19.29,20.82,21.05,23.13,24.07,25.5,26.16,27.51,28.86,29.53,30.79,33.34,33.97,35.18,36.19,36.98,38.7,40.79,41.55,43.34,44.86,48.74
IDA,IDA total,24.25,25.88,26.87,27.84,28.59,29.93,31.33,31.82,33.37,34.93,35.78,36.74,37.78,39.65,39.76,41.11,42.93,44.25,44.84,46.13,46.02,48.59,50.04,50.87,52.55,53.04,57.61
IND,India,43.29,44.94,46.59,50.9,49.87,51.5,53.11,54.71,56.3,60.1,59.4,55.8,62.3,63.92,64.4,66.93,67.9,69.99,71.55,75,76.3,67.6,79.9,79.6,81.24,88,84.53
IDN,Indonesia,61.7,48.9,65.11,55.43,62.8,66.86,72.39,80.3,80.94,83.73,86.3,86.26,87.6,87.94,89.01,86.19,90.62,91.1,92.73,93.55,94.15,94.83,96,96.46,97.01,97.54,97.62
IRN,Iran,95.58,95.83,96.08,96.33,96.58,96.81,97.03,97.24,97.43,97.59,97.9,97.86,97.97,98.08,98.19,98.31,98.4,98.58,98.74,98.93,99.13,99.34,99.56,99.76,100,99.98,100
IRQ,Iraq,93.48,93.81,94.13,94.45,94.77,95.07,95.37,95.65,95.91,96.15,96.36,96.56,96.75,96.93,97.11,97.29,97.62,98.1,97.94,98.21,98.49,98,99.3,99.38,99.66,99.86,100
IRL,Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IMN,Isle of Man,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
