iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BGD,219.165,213.608,208.077,203.052,197.593,192.751,188.393,183.458,179.48,175.418,173.421,168.336,164.319,162.577,158.741,158.997,154.675,153.306,152.467,151.955,165.325,199.404,151.279,151.062,153.551,149.266,147.876,146.082,143.871,141.323,138.64,135.672,132.555,129.235,125.826,122.642,118.364,114.707,110.912,106.884,103.027,103.643,95.212,91.286,87.332,83.446,79.462,75.546,71.825,68.096,64.607,61.324,58.222,55.324,52.634,49.986,47.526,45.406,43.004,40.961,39.033,37.235,35.558,33.94,32.388,30.877,29.392,27.961,26.556,25.243,24.033,22.911
BGR,95.97,97.282,98.481,79.866,85.451,83.045,71.753,64.95,51.554,54.426,45.581,37.324,36.344,35.224,32.759,29.258,30.917,33.192,30.499,29.707,26.96,24.336,25.703,27.086,25.659,22.111,22.588,23.635,21.954,20.087,19.612,18.574,18.226,16.514,15.934,14.963,14.171,14.58,13.611,14.048,14.389,16.265,15.609,15.053,15.848,14.207,15.628,16.305,15.064,15.251,13.615,14.099,13.425,12.348,11.892,10.512,10.003,9.329,8.793,9.265,9.139,8.296,7.843,7.462,7.689,6.492,6.492,6.296,5.667,5.518,5.322,5.133
BHR,212.934,211.798,209.118,205.597,201.21,195.932,182.102,169.157,157.471,145.963,135.389,125.371,115.964,107.073,98.777,90.955,83.561,76.645,70.139,64.096,58.545,53.425,48.865,44.659,40.975,37.746,34.893,32.396,30.208,28.25,26.562,25.111,23.855,22.734,21.745,20.923,20.296,19.862,19.6,19.455,19.315,19.049,18.559,17.75,16.645,15.38,14.104,12.938,11.974,11.226,10.666,10.244,9.918,9.647,9.381,9.095,8.759,8.387,7.999,7.619,7.283,7.066,6.818,6.676,6.571,6.478,6.38,6.259,6.087,5.925,5.755,5.583
BHS,55.456,54.353,53.274,52.188,51.089,50.003,48.922,47.876,46.88,45.836,44.724,43.608,42.489,41.38,40.233,39.124,38.014,36.75,35.187,33.826,32.827,31.967,31.114,30.292,29.758,29.477,28.923,28.384,27.81,27.152,26.422,25.751,25.064,24.435,23.875,23.397,22.998,22.404,21.642,20.796,19.907,19.02,18.229,17.337,16.538,15.798,15.138,14.594,14.202,14.007,13.956,14.043,14.188,14.34,14.583,14.453,14.352,14.181,13.926,13.651,13.369,13.079,12.825,12.551,12.301,12.406,11.778,11.495,11.198,14.56,10.58,10.255
BIH,164.236,159.735,150.864,142.291,134.046,126.149,118.634,111.522,104.836,98.592,92.807,87.479,82.597,77.999,73.664,69.65,65.817,62.065,58.343,54.639,50.928,47.298,43.835,40.603,37.636,34.973,32.635,30.593,28.799,27.21,25.75,24.336,22.917,21.476,20.025,18.652,17.492,16.64,16.128,15.911,15.859,14.735,30.31,29.35,12.095,13.717,10.754,10.166,9.611,9.119,8.726,8.438,8.238,8.104,7.984,7.826,7.592,7.304,6.979,6.645,6.345,6.076,5.866,5.707,5.655,5.493,5.413,5.335,5.243,5.137,5.012,4.877
BLM,100.809,95.204,80.442,81.443,78.549,76.354,78.591,72.808,70.373,70.86,70.162,72.187,67.49,60.319,60.132,68.954,61.209,58.546,58.076,51.432,44.447,44.368,42.171,39.824,37.838,35.72,33.826,32.615,31.044,29.439,27.654,25.35,20.154,21.281,20.887,21.434,19.244,18.916,17.32,17.288,16.777,13.907,14.916,14.571,14.245,13.92,13.621,13.316,13.016,12.738,12.461,12.189,11.918,11.661,11.402,11.156,10.918,10.696,10.484,10.291,10.105,9.911,8.645,9.538,9.349,9.162,9.004,10.406,8.67,8.5,8.342,8.116
BLR,74.03,71.043,65.244,59.644,54.389,49.503,45.013,40.941,37.304,34.102,31.313,28.906,26.837,25.039,23.437,22.011,20.753,19.691,18.834,18.16,17.645,17.293,17.098,17.022,17.022,17.046,17.047,16.994,16.871,16.664,16.363,15.742,15.165,14.662,14.216,13.79,13.361,12.929,12.532,12.203,12.007,11.99,12.102,12.252,12.351,12.355,12.214,11.913,11.442,10.819,10.112,9.39,8.695,8.067,7.505,6.951,6.373,5.79,5.252,4.785,4.387,4.056,3.777,3.542,3.332,3.135,2.939,2.738,2.532,2.325,2.139,1.972
BLZ,128.608,127.025,123.869,120.764,117.686,115.276,111.76,108.905,106.112,103.361,100.645,106.674,95.191,92.425,89.646,86.879,84.163,81.534,78.543,75.43,72.596,69.769,67.112,64.693,62.423,60.182,58.067,56.047,54.224,52.238,50.381,48.583,46.726,44.89,43.006,41.072,39.092,37.078,35.063,33.1,31.219,29.454,27.885,26.421,25.102,23.957,22.929,22.01,21.325,20.409,19.938,19.581,18.641,18.237,17.915,17.67,17.358,17.083,16.899,16.415,15.995,15.515,14.962,14.346,13.695,13.019,12.341,11.677,11.048,10.474,9.968,9.743
BMU,77.505,107.242,73.491,61.871,75.874,63.681,40.286,40.841,35.217,36.615,34.222,47.446,45.788,47.819,31.966,29.691,43.047,27.669,26.019,28.689,22.21,28.243,25.024,16.618,17.354,15.31,18.576,16.309,14.669,14.128,15.298,11.474,12.862,10.19,8.321,11.361,11.418,7.821,5.913,7.479,7.941,8.323,12.5,9.376,14.995,7.318,3.057,3.691,1.188,2.488,3.128,3.142,1.856,3.41,1.869,5.276,8.075,4.014,4.749,1.924,1.944,1.184,1.98,2.005,3.782,3.105,3.069,1.138,2.319,2.311,2.301,2.211
BOL,184.989,184.311,182.933,181.508,180.034,178.514,176.945,175.328,173.662,171.947,170.182,168.366,166.498,164.578,162.605,160.653,158.523,156.362,154.214,151.934,149.624,147.267,144.854,142.386,139.913,137.285,134.652,131.979,129.282,126.427,123.581,120.682,117.733,115.085,111.691,108.602,105.507,102.311,99.017,95.732,92.333,88.916,85.598,82.036,78.461,74.907,71.443,68.079,64.77,61.593,58.648,55.868,53.34,50.927,48.704,46.592,44.6,42.634,40.609,38.56,36.657,34.938,33.4,32.258,31.336,30.626,30.049,29.533,28.975,28.365,27.561,26.72
BRA,159.08,156.476,153.601,150.671,147.765,144.853,141.755,138.731,135.656,132.49,129.332,126.156,123.101,120.202,117.591,115.143,112.933,110.779,108.514,106.257,103.917,101.526,99.066,96.663,94.306,91.834,89.323,86.67,83.776,80.686,77.438,74.163,71.008,68.154,65.529,63.099,60.824,58.69,56.675,54.625,52.565,50.388,48.097,45.656,43.163,40.693,38.311,36.066,33.917,31.895,29.989,28.158,26.395,24.747,23.182,21.72,20.397,19.217,18.179,17.263,16.49,15.87,15.268,14.815,14.446,14.14,13.885,13.697,13.494,13.286,13.062,12.842
BRB,135.209,137.935,137.648,133.467,125.225,115.16,103.091,92.622,83.651,76.447,70.682,65.981,61.918,58.328,55.143,52.321,49.805,47.602,45.566,43.554,41.682,39.6,37.647,35.728,33.86,32.02,30.258,28.548,26.922,25.38,23.982,22.772,21.77,20.948,20.244,19.606,18.989,18.361,17.706,17.018,16.33,15.651,15.018,14.474,14.036,13.712,13.502,13.407,13.411,13.512,13.676,13.87,14.046,14.175,14.23,14.177,14.079,13.95,13.81,13.672,13.549,13.423,13.299,13.152,12.947,12.69,12.395,12.097,11.778,11.447,11.119,10.756
BRN,125.314,118.094,111.928,107.058,103.308,100.464,98.051,95.144,91.019,85.591,79.28,72.39,65.793,59.88,54.887,51.085,47.94,45.55,43.483,41.464,39.23,36.691,33.94,31.094,28.301,25.689,23.342,21.232,19.372,17.721,16.287,15.056,14.003,13.127,12.411,11.826,11.364,11.024,10.806,10.685,10.639,10.627,10.589,10.468,10.257,9.967,9.625,9.258,8.909,8.588,8.315,8.089,7.91,7.776,7.683,7.633,7.611,7.615,7.646,7.704,7.794,7.904,8.036,8.189,8.351,8.521,8.697,8.875,9.041,9.179,9.248,9.226
