Country Name,iso,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chile,CHL,0.1085046,0.07266885,0.1566597,0.1858176,0.2157463,0.1742252,0.2044083,0.191733,0.1453459,0.1198799,0.101459,0.09673425,0.08381671,0.089902,0.1017018,0.08503003,0.07069215,0.06715488,0.0667954,0.07681923,0.06828033,0.07664669,0.07794014,0.07837152,0.07264087,0.05924809,0.04888224,0.05030991,0.05651002,0.03059518,0.025819,0.02199758,0.01622577,0.01300253,0.015187615,0.01700917,0.01112995,0.01064533,0.01059842
China,CHN,0.066,0.129,0.093,0.055,0.032,0.025,0.043,0.069,0.096,0.02,0.002,0.157,0.239,0.45,0.645,0.6771327,0.5486789,0.4537832,0.4458156,0.4248045,0.3333302,0.297182,0.2765321,0.2533569,0.3089008,0.2378074,0.236217033,0.2064218,0.2094838,0.1913381,0.1882467,0.1678891,0.1630717,0.1278062,0.09923153,0.0739322,0.06161436,0.05953936,0.05398173
Colombia,COL,0.09557514,0.3285874,0.3478821,0.1671212,0.1680009,0.1682722,0.1729187,0.1581102,0.1567435,0.1921351,0.1262853,0.158677,0.1917661,0.1109021,0.1239673,0.1384702,0.1372756,0.1580337,0.1823505,0.1162663,0.1079124,0.09765451,0.119519,0.1065598,0.09069599,0.07607315,0.101710713,0.1073018,0.07495904,0.0705233,0.06284606,0.05561715,0.056902,0.05002833,0.3583168,0.1801618,0.1498399,0.1368674,0.04850203
Comoros,COM,0.4998713,0.4610587,0.475158,0.4431464,0.4344836,0.437912,0.4069515,0.4377844,0.4746807,0.5319849,0.5171948,0.5831321,0.5921286,0.6147573,0.6527013,0.6205357,0.6537829,0.6626081,0.6650579,0.6533516,0.6222878,0.7517332,0.6226481,0.7551155,0.3346546,0.4148336,0.401052844,0.392791,0.378036744,0.354372,0.335455733,0.317268644,0.294781111,0.3674431,0.5500522,0.5595473,0.5529914,0.5501145,0.5500522
Congo,COG,0.6997333,0.5089597,0.5463034,0.5048562,0.4699904,0.3781528,0.5005475,0.5234845,0.5405088,0.5337817,0.6894172,0.6441645,0.7467684,0.7143469,0.6573738,0.6058281,0.5650947,0.5798763,0.7877536,0.5541137,0.579434,0.5023187,0.6282038,0.5750465,0.5629052,0.5136543,0.512999017,0.4734963,0.37305035,0.360496,0.289513917,0.3564488,0.4775329,0.3781636,0.4229566,0.4083797,0.3673728,0.5273001,0.628509
Costa Rica,CRI,0.3133319,0.3804051,0.3791195,0.3836779,0.3322746,0.274793,0.2249133,0.18211,0.2039784,0.1791813,0.1525865,0.1773942,0.1531119,0.1287747,0.1080252,0.1227428,0.1357606,0.1128927,0.09343671,0.1076418,0.1105368,0.08110631,0.07429356,0.0727014,0.07765866,0.06336024,0.06305425,0.04240026,0.05156284,0.0557428,0.04009282,0.04270847,0.04271188,0.04047764,0.03869364,0.04179633,0.03931858,0.03031891,0.03008218
Croatia,HRV,0.00025097,0.000125256,0.000498527,0.000756037,0.03056056,0.02611036,0.06715116,0.05430419,0.008653698,0.001999775,0.000675381,0.001028736,0.004647968,0.003804892,0.00287992,0.000982786,0.00098821,0.00040261,0.000363657,0.01378921,0.009092922,0.009475686,0.00463438,0.003980615,0.004346979,0.003327982,0.003185226,0.005457021,0.006307328,0.005162137,0.005759919,0.06987912,0.06746436,0.06733037,0.0574522,0.04997124,0.04997124,0.03998892,0.03741155
Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,CZE,1.94E-05,0.000296174,7.28E-05,9.70E-06,9.70E-06,4.85E-06,0,0,0,0,0,8.73E-05,0,0.000308409,0.001264614,0.002133062,0.002728884,0.002443957,0.001784685,0.002375977,0.001155186,0.000853685,0.000540638,0.000257088,0,0,0,0.002497542,0.002344959,0,0.002386629,0.002137773,0.001617301,0.002483849,0.002439854,0,0,0,0
Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470111,0.002178051,0.002245116,0.002381613,0.004631567,0.004976406,0.006958102,0.002380587,0.001358992,0.001669975,0.004393926,0.002751722,0.002117451,0.002117451,0.002117451,0.002117451
